PortuguÃªs,Kikongo
B,B
BabÃ¡, S. ntawudi
Baba, S. nzembo: mete
Babado, Adj. anzembo: amete: Adj. fam. n'zodi
Babão, Adj. s n'kwa nzembo: Adj. s. fig. Dinda: zowa: zenga: zengi: mpamvu: tunze
Babar, V. vayikwa nzembo, vayikwa mete: zembumuka
Babilónia, S. fig. Mvwanga: myangu: mazu: ntungyana: ntyakalakani: nzengalakani
Bacia, S. longa dya mpwena: bola: kukuwa
Bacio, S. subilu: lwenga lwa subila: lwenga lwa zyenena: lwenga lwa kukila: lwenga lwa nenena
Baço, Adj. Afunzuka: apyka: alomboka: S. nzalambinzi: fuma: inflamação do baço: bekele
Bafo, S. mwela: mufu: nsudi: nsambu: lau: lombo: swekameno
Bagagem, S. funda: n'tete: lekwa ya nzila
Bailar, V. kina
Bailarino, S. kinkini: n'kini
