PortuguÃªs,Kikongo
C,C
CÃ¡,Adv. kwaku: vava: va: mu
CabaÃ§a,S. nkalu: tutu: ndongo: nkonge: n'sanga
CabaÃ§o,S. nkalu: n'kanda a kimwenze: mwenze
Cabana,S. nzo akete: zozokolo: saba
Cabaz,S. n'tete: n'kola
CabeÃ§a,S. n'tu: zowa: dinda
CabeÃ§ada,S. ngwandanesa: ngwandanisa: ngwandanisa a n'tu
Cabeça-dura,S. n'kwa ntala: n'tokami: zowa: vwengele: dinda: zengi: zeza: mpamvu
Cabeçalho,S. nkumbu: zina
Cabeça-no-ar,S. zowa: vwengele: dinda: zengi: zeza: tunze: umpalakasa: zaka-zaka
Cabeceira,S. mfika: m'fidi: mfumu
Cabeçudo,Adj. N'kwa ntu ampuwena
Cabeleireiro,s. n'zengi a nsuki
Cabelo,S. nsuki: cabelo da púbis: nkundu: cabelos brancos: mvu: cabelo crespo: nsuki za zingama: cabelos loiros: nsuki za ndundu
Cabeludo,Adj. Ansuki za yingi
Caber,V. fwana: lunga
Cabide,S. kabida: yengeleko dya m'vwatu
Cabidela,S. wana a nuni
