Português,Kikongo
D,D
Dado,Adj. alukau: avewa: akayilwa: nzonzi
Dádiva,S. lukau: mpana: nkayila: n'kayilu
Dama,S. nengwa: n'kento: nkenge: ndona
Danado,Adj. asibwa: afwasuka: an'soki: n'kwa n'soki: amvwanzi: alauka
Danar,V. fwasa: fwasakesa: koa n'soki
Dançar,S. makinu: entrar em dança: yatika salu: yantika salu
Danificar,V. vwanza: fwasa: vwanzakesa: fwasakesa: kota n'soki
Dar,V. vana: kaya: kayila
Data,S. lumbu: kya ngonde: ntangwa: ndambu a n'toto
Debitar,V. dika mfuka: debitar-se: dya mfuka
Débito,s. mfuka
Década,S. m'vu kumi
Decadência,S. nkuluka: nyoya: mfwasuku: mbaninu: nsuka
Decair,V. bwa: sotoka: yekoka: yekuka: kuluka: fwasuka: yovoka
Decano,S. mbuta: n'kuluntu
Decente,Adj. Kinkete: azitu: ambote: afwana
Decepador,Adj. N'zengi: n'zengononi: azengununi
Decepar,V. zenga: zengonena: zengununa: buntuna: vambula
