Português,Kikongo
E,ya: ye: yo
Eclâmpsia,S. silwa
Eclesiástico,Adj. s. abundu: nganga e bundu dya katolika
Eclipsado,Adj. akikwa: aladiswa: afukwa: afukidilwa: alala: afukama
Eclipsar,V. kika: ladisa: sweka: fuka: fukidila: lala
Eclipse,S. nkikama: mvila
Eclodir,V. moneka: sengomoka: sengumuka: seloka: selola
Eclosão,S. nsampu: nsengomoka: nsengumuka: mbona meso: mboneka
Eco,S. zu: kintambwila
Ecologia,S. ekolozi
Ecoloógico,Adj. Akyekolozi
Economia,S. lukebo: mpimbu: ndunda a nzimbu: nzimbu za ndundisa
Económico,Adj. Ampimbu: n'kwa zayi wa lukebo
Economista,S. n'kwa mpimbu: n'kwa zayi wa lukebo
Economizar,V. lunda: lundidila: kutikila dya mpumbu
Éden,S. edeni
Edição,S. ndyeteka
Edificar,V. tunga: vanga: vangamesa: kumika
Edifício,S. nzo: ntungu

