Português,Kikongo
F,F
Fabiano,S. podi
Fabricante,S. m'vangi: n'tungi: m'fudi
Fabricar,V. vanga: tunga: kuba: fula: yidika
Fabricação,S. ntungu: mpanga: nkuba: mfula
Fabrico,S. mfula: ngidika: ntungu: nyidika
Face,S. mbulu: luse: lose
Fachada,S. ndose a nzo: ntwala a nzo
Facial,Adj. Andose: aluse: alose: antwala
Fáceis,S. ndose
Fácil,Adj. Avevoka: avevuka: awete: anzaki: asazu: akondwa mpasi
Facilidade,S. nkondwa a mpasi: nzaki
Facilitar,V. sadisa: sakidila mpasi: katula mpasi
Facto,S. dyambu: vango: lekwa: mbwa a dyambu: dyambu dibwidi
Factor,S. m'vangi: n'lunganisi
Factoração,S. mpambanisa: mpambanesa nsasakesa
Factorar,V. vambanisa: vambanesa: sasakesa
Factura,S. mpanga
Facturaçã,S. mpanga

