Português,Kikongo
G,G
Gabão,S. Ngambu
Gabar,V. sanisa: kusana: kusanisa
Gabarola,Adj. apyolo: alusanu
Gabela,S. n'tete a n'susulu mya masa: mpaku a mungwa: mpaku
Gabinete,S. sonekeno
Gabonês,Adj. Mwisi Ngambu: musi Ngambu
Gado,S.twelezi
Gafa,S.wazi: S. fig. mbi: mpasi: yela: kimbevo: nzanga: kinzu kya natina mungwa
Gafanhoto,S. konko
Gago,Adj. s. n'kukumi: n'kokomi: n'lokosi
Gaguear,V. kokola: kekela
Gaguejador,Adj. N'kukumi: n'kokomi: n'lokosi
Gaguejar,V. kukuma: kokoma: lokosa
Gaiola,S. sakala: kalanga
Gaivota,S. (bras) dinda: zowa: zengi
Gajo,S. n'n'kwa: kimpumbulu
Gala,S. n'kembo: m'vwatu a lumbu kya n'kembo
Galão,S. tezo: tenda kya vyengesela m'vwatu

