PortuguÃªs,Kikongo
H,H
Habilidade,S. ngangu: ndwenga: zaya: unkete
Habilidoso,Adj. n'kwa ngangu: n'kwa ndekwa: kinkete
HÃ¡bil,Adj. afwana: afwete: alenda: angangu: andwenga: azaya: aunkente
Habilitado,Adj. alongoka: azaya: afwana: angangu: andwenga
Habilitar,V. longa: kubika: kumpika: fwaninika
HabilitaÃ§Ã£o,S. ngangu: ndwenga: ndongoka: zaya: unkete
HabilitaÃ§Ãµes,S. ndongoka
Habitação,S. nzo: fulu kya kala
Habitacional,S: anzo: afulu
Habitante,Adj. s. n'kwa: musi: mwisi
Habitar,V. kala: zingila vwanda
Habitável,Adj. azingila: akala
Hábito,S. uf: n'zu: nkulukilwa: m'vwatu
Habituado,Adj. akulukilwa: akulukiswa
Habitual,Adj. Akulukilwa
Habituar,V. kulukila: kulukilwa: kulukiswa
Hálito,S. mwanda: mwela: fulumwinu: mufu
Harmonia,S. ndenkani: ngwawani: ngwizani: ndekana
